oblast,region,depth,parent_text,text,leaf,id,y012025,y022025,y032025,y042025,y052025,y062025,y072025,y082025,y092025,y102025,y112025,y122025,y012026,y022026
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Оптовая торговля, за исключением торговли автомобилями и мотоциклами",Неспециализированная оптовая торговля,False,448371,143664509.0,143664509,143664509,143664509,143664509,143664509,143664509,143664509,143664509,143664509,143664509,340430514,3061897.0,3061897.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Неспециализированная оптовая торговля,Неспециализированная оптовая торговля,False,448372,143664509.0,143664509,143664509,143664509,143664509,143664509,143664509,143664509,143664509,143664509,143664509,340430514,3061897.0,3061897.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Неспециализированная оптовая торговля,"Специализированная оптовая торговля товарами, не включенными в другие группировки",True,448375,,,,,,,,,,,,,3061897.0,3061897.0
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Неспециализированная оптовая торговля,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,True,448376,143664509.0,143664509,143664509,143664509,143664509,143664509,143664509,143664509,143664509,143664509,143664509,340430514,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,"Розничная торговля, кроме торговли автомобилями и мотоциклами",False,448377,1182533.0,8114533,9537533,9537533,9537533,9537533,9537533,9537533,1025273675,1025273675,2468647813,2818509717,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",Розничная торговля в неспециализированных магазинах,False,448378,1182533.0,8114533,9537533,9537533,9537533,9537533,9537533,9537533,1025273675,1025273675,2468647813,2801340536,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Розничная торговля в неспециализированных магазинах,"Розничная торговля в неспециализированных магазинах преимущественно продуктами питания, напитками и табачными изделиями",False,448379,,,,,,,,,,,,330119041,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Розничная торговля в неспециализированных магазинах преимущественно продуктами питания, напитками и табачными изделиями","Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",True,3647934,,,,,,,,,,,,330119041,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Розничная торговля в неспециализированных магазинах,Прочая розничная торговля в неспециализированных магазинах,False,448381,1182533.0,8114533,9537533,9537533,9537533,9537533,9537533,9537533,1025273675,1025273675,2468647813,2471221301,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Прочая розничная торговля в неспециализированных магазинах,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",True,3647936,1182533.0,8114533,9537533,9537533,9537533,9537533,9537533,9537533,1025273675,1025273675,1025273675,1027847163,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Прочая розничная торговля в неспециализированных магазинах,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью более 2000 кв.м (2000 кв.м и выше)",True,3647937,,,,,,,,,,,1443374138,1443374138,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",Розничная торговля топливом в специализированных магазинах,False,448399,,,,,,,,,,,,17169181,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Розничная торговля топливом в специализированных магазинах,Розничная торговля топливом в специализированных магазинах,False,448400,,,,,,,,,,,,17169181,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Розничная торговля топливом в специализированных магазинах,"Розничная торговля моторным топливом в специализированных магазинах, за исключением находящихся на придорожной полосе",True,20576124,,,,,,,,,,,,17169181,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Розничная торговля топливом в специализированных магазинах,"Розничная торговля моторным топливом в специализированных магазинах, находящихся на придорожной полосе",True,20576126,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",Розничная торговля прочими бытовыми товарами в специализированных магазинах ,False,448409,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Розничная торговля прочими бытовыми товарами в специализированных магазинах ,Розничная торговля электрическими бытовыми приборами в специализированных магазинах,False,448416,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Розничная торговля электрическими бытовыми приборами в специализированных магазинах,"Розничная торговля электрическими бытовыми приборами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,3647962,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",Розничная торговля прочими товарами в специализированных магазинах,False,448433,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Розничная торговля прочими товарами в специализированных магазинах,Розничная торговля обувью и кожаными изделиями в специализированных магазинах,False,448437,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Розничная торговля обувью и кожаными изделиями в специализированных магазинах,"Розничная торговля обувью в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,448438,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами","Розничная торговля вне магазинов, палаток, киосков или рынков",False,448468,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,"Розничная торговля вне магазинов, палаток, киосков или рынков","Прочая розничная торговля вне магазинов, палаток, киосков или рынков",False,448471,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Прочая розничная торговля вне магазинов, палаток, киосков или рынков",Прочая розничная торговля вне магазинов,True,448474,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,1,Всего,Транспорт и складирование,False,448475,30985183.0,30985183,30985183,30985183,61292183,2368847183,8022673338,8135473338,8135473338,8171736708,8171736708,13903316336,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,Транспорт и складирование,Деятельность сухопутного и трубопроводного транспорта ,False,448476,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,Деятельность сухопутного и трубопроводного транспорта ,Деятельность пассажирского железнодорожного транспорта в междугородном сообщении,False,448477,,,,,,,,,,,,,,
