oblast,region,depth,parent_text,text,leaf,id,y012025,y022025,y032025,y042025,y052025,y062025,y072025,y082025,y092025,y102025,y112025,y122025,y012026,y022026,y032026,y042026
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,2,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,"Розничная торговля, кроме торговли автомобилями и мотоциклами",False,448377,1182533.0,8114533.0,9537533.0,9537533.0,9537533.0,9537533.0,9537533.0,9537533.0,1025273675.0,1025273675.0,2468647813.0,2818509717.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",Розничная торговля в неспециализированных магазинах,False,448378,1182533.0,8114533.0,9537533.0,9537533.0,9537533.0,9537533.0,9537533.0,9537533.0,1025273675.0,1025273675.0,2468647813.0,2801340536.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Розничная торговля в неспециализированных магазинах,"Розничная торговля в неспециализированных магазинах преимущественно продуктами питания, напитками и табачными изделиями",False,448379,,,,,,,,,,,,330119041.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Розничная торговля в неспециализированных магазинах преимущественно продуктами питания, напитками и табачными изделиями","Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",True,3647934,,,,,,,,,,,,330119041.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Розничная торговля в неспециализированных магазинах,Прочая розничная торговля в неспециализированных магазинах,False,448381,1182533.0,8114533.0,9537533.0,9537533.0,9537533.0,9537533.0,9537533.0,9537533.0,1025273675.0,1025273675.0,2468647813.0,2471221301.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Прочая розничная торговля в неспециализированных магазинах,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",True,3647936,1182533.0,8114533.0,9537533.0,9537533.0,9537533.0,9537533.0,9537533.0,9537533.0,1025273675.0,1025273675.0,1025273675.0,1027847163.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Прочая розничная торговля в неспециализированных магазинах,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью более 2000 кв.м (2000 кв.м и выше)",True,3647937,,,,,,,,,,,1443374138.0,1443374138.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",Розничная торговля топливом в специализированных магазинах,False,448399,,,,,,,,,,,,17169181.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Розничная торговля топливом в специализированных магазинах,Розничная торговля топливом в специализированных магазинах,False,448400,,,,,,,,,,,,17169181.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Розничная торговля топливом в специализированных магазинах,"Розничная торговля моторным топливом в специализированных магазинах, за исключением находящихся на придорожной полосе",True,20576124,,,,,,,,,,,,17169181.0,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Розничная торговля топливом в специализированных магазинах,"Розничная торговля моторным топливом в специализированных магазинах, находящихся на придорожной полосе",True,20576126,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",Розничная торговля прочими бытовыми товарами в специализированных магазинах ,False,448409,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Розничная торговля прочими бытовыми товарами в специализированных магазинах ,Розничная торговля электрическими бытовыми приборами в специализированных магазинах,False,448416,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Розничная торговля электрическими бытовыми приборами в специализированных магазинах,"Розничная торговля электрическими бытовыми приборами в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,3647962,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами",Розничная торговля прочими товарами в специализированных магазинах,False,448433,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,Розничная торговля прочими товарами в специализированных магазинах,Розничная торговля обувью и кожаными изделиями в специализированных магазинах,False,448437,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,Розничная торговля обувью и кожаными изделиями в специализированных магазинах,"Розничная торговля обувью в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",True,448438,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,3,"Розничная торговля, кроме торговли автомобилями и мотоциклами","Розничная торговля вне магазинов, палаток, киосков или рынков",False,448468,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,4,"Розничная торговля вне магазинов, палаток, киосков или рынков","Прочая розничная торговля вне магазинов, палаток, киосков или рынков",False,448471,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,5,"Прочая розничная торговля вне магазинов, палаток, киосков или рынков",Прочая розничная торговля вне магазинов,True,448474,,,,,,,,,,,,,,,,
АЛМАТИНСКАЯ ОБЛАСТЬ,ҚОНАЕВ Г.А.,1,Всего,Транспорт и складирование,False,448475,30985183.0,30985183.0,30985183.0,30985183.0,61292183.0,2368847183.0,8022673338.0,8135473338.0,8135473338.0,8171736708.0,8171736708.0,13903316336.0,,,,
